objectid,parentid,filename,title,series,format,description,medium,dimensions,youtubeid,date,textdescription,draft,subject,fabric,othermaterials,type,category,text description,purpose
prom01,,,Tuelle Ballgown,,multiple,This is a ball gown made of tuelle and a silk blend. It was created for the prom in 2021. It includes floral appliques.,textile,,,2021-05-07,,final,dress; prom ,tuelle; silk blend; appliques,dress,compound_object,Prom 2021,,Prom 2021
prom001,prom01,prom_still.jpg,,,image/jpeg,,,,,,,,,,,Image;StillImage,,,
prom002,prom01,prom_face.jpg,,,image/jpeg,,,,,,,,,,,Image;StillImage,,,
prom003,prom01,prom_motion.jpg,,,image/jpeg,,,,,,,,,,,Image;StillImage,,,
of001,,of_comic.pdf,Our Father Comic,Our Father,application/pdf,The incomplete comic adaptation of a scene in our father. It combines 4 different art styles,digital art ,,,2025,,7,angel; demon; hell; comic,,,Text,,,
of002,,of_key.pdf,Our Father Key,Our Father,application/pdf,A page-by-page summary of what is happening in the incomplete Our Father comic.,prose,,,2025,,,angel; demon; hell,,,Text,,,
of003,,of_key_comic.pdf,Our Father Key with Comic,Our Father,application/pdf,"A page-by-page summary of what is happening in the incomplete Our Father comic, with the comic mixed it. It was created to make it easier to present. ",prose; digital art,,,2025,,,angel; demon; hell; comic,,,Text,,,
of004,,of_prose.pdf,Our Father Prose ,Our Father,application/pdf,A version of Our Father told through short story exercises. Created for Bob Bledsoe's creative writing class.,prose,,,2024,,,angel; demon; hell; short story,,,Text,Class Assignment; Final Project ,,ENG W401 Advanced Fiction Writing
of005,,of_script.pdf,Our Father Script ,Our Father,application/pdf,A version of Our Father starting from the very beginning. Created for a script-writing class. ,screenplay,,,2024,,,angel; demon; hell; screenwriting,,,Text,,,
of006,,of_syn.pdf,Our Father Synopsis,Our Father,application/pdf,An introductory document to the Our Father comic describing the artistic motivations and storylines. ,prose; essay,,,2025,,,angel; demon; hell,,,Text,,,
yt001,,,Nose Job,,video/mp4,"Short introduction skit for the school news, BHS TV.",video,,7PRRunm24HI,2021,,,cats; witch; nose; magic; pig,,,compound_object,,,
fz01,,frog1.jpg,A Frog Eats Frog World,,multiple,zine,zine,,,2024,,final,Kermit the Frog; frog; zines; existentialism,,,Image;StillImage,,,
fz001,fz01,frog1.jpg,A Frog Eats Frog World,,image/jpeg,,zine,,,2024,,final,Kermit the Frog; frog; zines; existentialism,,,Image;StillImage,,,
fz002,fz01,frog2.jpg,A Frog Eats Frog World,,image/jpeg,,zine,,,2024,,final,Kermit the Frog; frog; zines; existentialism,,,Image;StillImage,,,
fz003,fz01,frog3.jpg,A Frog Eats Frog World,,image/jpeg,,zine,,,2024,,final,Kermit the Frog; frog; zines; existentialism,,,Image;StillImage,,,
fz004,fz01,frog4.jpg,A Frog Eats Frog World,,image/jpeg,,zine,,,2024,,final,Kermit the Frog; frog; zines; existentialism,,,Image;StillImage,,,
fz005,fz01,frog5.jpg,A Frog Eats Frog World,,image/jpeg,,zine,,,2024,,final,Kermit the Frog; frog; zines; existentialism,,,Image;StillImage,,,
wc001,,flower.jpg,Flower,,image/jpeg,,watercolor ,9x12,,2024-09-11,,final,flower,,,Image;StillImage,,,
wc002,,clown.jpg,Times Change,,image/jpeg,,watercolor ,15.25x11,,2024-09-16,,final,clown; comic ,,,Image;StillImage,,,
wc003,,towerbw.jpg,Desaturated Fall,,image/jpeg,,watercolor ,9x12,,2024-10-11,,final,test,,,Image;StillImage,,,
wc004,,towerc.jpg,Autumn Technicolor ,,image/jpeg,,watercolor ,9x12,,2024-10-14,,final,test,,,Image;StillImage,,,
wc005,,waterdress.jpg,Brief Triumph,,image/jpeg,,watercolor ,8x8,,2024-10-14,,final,test,,,Image;StillImage,,,
ink001,,walk.jpg,I thought we were in love...,Just Strolling,image/jpeg,,ink; charcoal; colored pencil,,,2024,,final,test,,,Image;StillImage,,,
yt002,,,Are You?,,video/mp4,A moment of art in one of my darkest moments. ,,,_kwnTnWWdVM,2021,,final,shit; covid 19; heartbreak,,,Image;StillImage,,,
op001,,pray.jpg,Fate and Destiny ,Possum's Guide ,image/jpeg,,,,,,,draft 1,,,,Image;StillImage,,,
op002,,,Sitting On a Bench,Possum's Guide ,compound_object,,,,,,,final,,,,compound_object,,,
op003,op002,sitting.jpg,,,image/jpeg,,,12x9,,,,,,,,Image;StillImage,,,
op004,op002,benchd1.jpg,,,image/jpeg,,pencil; ink,,,,,draft 1,,,,Image;StillImage,,,
op005,op002,optumbnail.jpg,,,image/jpeg,,pencil,,,,,thumbnails,,,,Image;StillImage,,,
op006,,givingup.jpg,,,image/jpeg,,pencil,12x9,,,,,,,,Image;StillImage,,,
tk0,,,Some Technique from California,,compound_object,,,,,,,,,,,compound_object,,,
tk1,tk0,tk1.jpg,woman sitting ,,image/jpeg,,acrylic,23.5x16.5,,3-27,,,,,,Image;StillImage,,,
tk2,tk1,tk2.jpg,woman with mirror ,,image/jpeg,,acrylic,20x23 ,,4-17,,,,,,Image;StillImage,,,
tk3,tk2,tk3.jpg,woman by heater,,image/jpeg,,acrylic,27.5x18,,,,,,,,Image;StillImage,,,
tk4,tk3,tk4.jpg,woman with lamp ,,image/jpeg,,acrylic,16x20 ,,undated,,,,,,Image;StillImage,,,
tk5,tk4,tk5.jpg,woman with book ,,image/jpeg,,acrylic,22x21,,4-10,,,,,,Image;StillImage,,,
tk6,tk5,tk6.jpg,woman sitting ,,image/jpeg,,acrylic,28x18.5,,04-05-22?,,,,,,Image;StillImage,,,
bird1,,birb.jpg,,,image/jpeg,,watercolor,22x15,,2024-10-2,,,,,,Image;StillImage,,,
of007,,blair.jpg,,,image/jpeg,,watercolor,15x11,,2024-10-28,,,,,,Image;StillImage,,,
brain1,,brain.jpg,,,image/jpeg,,watercolor,24x18,,undated,,,,,,Image;StillImage,,,
party1,,cameforaparty.jpg,Came for a party...,Just Strolling,image/jpeg,,charcoal; ,25.5x19.75,,2024,,,,,,Image;StillImage,,,
sl001,,catsstilllife.jpg,Afternoon Still Life,,image/jpeg,,watercolor,15.25x11,,2024-09-04,,,,,,Image;StillImage,,,
sl002,,kermitstill.jpg,Still Life with Limited Color Pallet ,,image/jpeg,,watercolor,15x22.5,,2024-10-2,,,,,,Image;StillImage,,,
frog001,,sadfrog.jpg,Existential,,image/jpeg,,collage ,18.25x12.25,,,,,,,,Image;StillImage,,,
sl003,,sketch.jpg,untitled,,image/jpeg,,colored pencil; pencil ,15x22.5,,2024-10-2,,,,,,Image;StillImage,,,
,,,,,,,,,,3-29,,,,,,,,,
